Name_common,target_name,point type,Name_common_year,Name_2018,Name_2019_x,Easting_2018_y,Northing_2018_y,Elevation_2018_y,H_Prec_Obs_2018_y,V_Prec_Obs_2018_y,Date_Obs_2018_y,Time_Obs_2018_y,Name_2019_y,Layer_2019,rebar_height_m_2019,Easting_2019_y,Northing_2019_y,Elevation_2019_y,Elevation_minus_rebar_m_2019,GlobalLati_2019,GlobalLong_2019,GlobalElli_2019,ElliHeight_minus_rebar_m_2019,LocalLatit_2019_y,LocalLongi_2019_y,LocalEllip_2019_y,ElliHeight_minus_Rebar_m_2019,H_Prec_Obs_2019_y,V_Prec_Obs_2019_y,Date_Obs_2019_y,Time_Obs_2019_y,Easting_2017,Northing_2017,Elevation_2017,LocalLatit_2017,LocalLongi_2017,LocalEllip_2017,H_Prec_Obs_2017,V_Prec_Obs_2017,Date_Obs_2017,Time_Obs_2017,Name_2017
fglb6f_ll,Target 6F,lobe,fglb6f_ll_2018,fglb6_front_bl,fglb6f_ll,442689.3907,7206644.447,138.829744,0.035727,0.049766,7/12/2018,3:33:27 PM,fglb6f_ll,Points,0,442689.5108,7206644.386,138.717292,138.717292,1.134094,-2.900989,143.683252,143.683252,64.978819,-166.214418,143.683338,143.683338,0.007905,0.008253,8/11/2019,3:27:35 PM,442689.3194,7206644.499,138.906054,64.97882,-166.214422,143.872098,0.015891,0.021036,6/28/2017,9:42:39 PM,tr47 fglb6f ll
fglb6f_lr,Target 6F,lobe,fglb6f_lr_2018,fglb6_front_br,fglb6f_lr,442689.526,7206644.918,138.786686,0.030265,0.042267,7/12/2018,3:32:57 PM,fglb6f_lr,Points,0,442689.6581,7206644.859,138.661664,138.661664,1.134094,-2.900989,143.627619,143.627619,64.978823,-166.214415,143.627705,143.627705,0.00799,0.008243,8/11/2019,3:26:34 PM,442689.4597,7206645.001,138.888506,64.978824,-166.214419,143.854546,0.016686,0.022098,6/28/2017,9:42:25 PM,tr47 fglb6f lr
fglb6f_ul,Target 6F,lobe,fglb6f_ul_2018,fglb6_front_tl,fglb6f_ul,442689.07,7206644.551,138.880903,0.028571,0.039604,7/12/2018,3:31:36 PM,fglb6f_ul,Points,0,442689.2003,7206644.502,138.794043,138.794043,1.134094,-2.900989,143.760001,143.760001,64.97882,-166.214425,143.760087,143.760087,0.008178,0.008309,8/11/2019,3:24:24 PM,442689.0189,7206644.63,138.967701,64.978821,-166.214429,143.933743,0.016676,0.022103,6/28/2017,9:41:51 PM,tr47 fglb6f ul
fglb6f_ur,Target 6F,lobe,fglb6f_ur_2018,fglb6_front_tr,fglb6f_ur,442689.1964,7206645.006,138.813441,0.028172,0.039374,7/12/2018,3:32:05 PM,fglb6f_ur,Points,0,442689.3319,7206644.971,138.720672,138.720672,1.134094,-2.900989,143.686626,143.686626,64.978824,-166.214422,143.686712,143.686712,0.00804,0.008273,8/11/2019,3:25:24 PM,442689.1287,7206645.08,138.923045,64.978825,-166.214426,143.889083,0.016481,0.021837,6/28/2017,9:42:06 PM,tr47 fglb6f ur
fglb6r_ll,Target 6R,lobe,fglb6r_ll_2018,fglb6_right_bl,fglb6r_ll,442681.4105,7206641.427,140.873449,0.022098,0.029837,7/12/2018,3:27:46 PM,fglb6r_ll,Points,0,442681.4324,7206641.413,140.825713,140.825713,1.134094,-2.900992,145.791684,145.791684,64.978791,-166.214588,145.79177,145.79177,0.008187,0.008126,8/11/2019,3:20:38 PM,442681.3567,7206641.475,140.934466,64.978791,-166.21459,145.900523,0.013681,0.017977,6/28/2017,9:44:07 PM,tr47 fglb6r ll
fglb6r_lr,Target 6R,lobe,fglb6r_lr_2018,fglb6_right_br,fglb6r_lr,442681.5036,7206641.894,140.876599,0.022025,0.030132,7/12/2018,3:26:41 PM,fglb6r_lr,Points,0,442681.5464,7206641.857,140.801027,140.801027,1.134094,-2.900992,145.766994,145.766994,64.978795,-166.214586,145.76708,145.76708,0.008227,0.008226,8/11/2019,3:21:48 PM,442681.452,7206641.969,140.943582,64.978796,-166.214588,145.909633,0.014595,0.019182,6/28/2017,9:43:49 PM,tr47 fglb6r lr
fglb6r_ul,Target 6R,lobe,fglb6r_ul_2018,fglb6_right_tl,fglb6r_ul,442681.0751,7206641.514,141.003351,0.024257,0.036381,7/11/2018,5:42:45 PM,fglb6r_ul,Points,0,442681.1206,7206641.506,140.92227,140.92227,1.134094,-2.900992,145.888239,145.888239,64.978792,-166.214595,145.888325,145.888325,0.007967,0.007904,8/11/2019,3:19:28 PM,442681.052,7206641.537,141.04832,64.978792,-166.214596,146.014375,0.014721,0.019364,6/28/2017,9:43:21 PM,tr47 fglb6r ul
fglb6r_ul,Target 6R,lobe,fglb6r_ul_2018,fglb6_right_tl,fglb6r_ul,442681.0751,7206641.514,141.003351,0.024257,0.036381,7/11/2018,5:42:45 PM,fglb6r_ul,Points,0,442681.1206,7206641.506,140.92227,140.92227,1.134094,-2.900992,145.888239,145.888239,64.978792,-166.214595,145.888325,145.888325,0.007967,0.007904,8/11/2019,3:19:28 PM,442681.052,7206641.537,141.04832,64.978792,-166.214596,146.014375,0.014721,0.019364,6/28/2017,9:43:21 PM,tr47 fglb6r ul
fglb6r_ul,Target 6R,lobe,fglb6r_ul_2018,fglb6_right_tl,fglb6r_ul,442681.0791,7206641.503,141.005693,0.024202,0.032886,7/12/2018,3:24:59 PM,fglb6r_ul,Points,0,442681.1206,7206641.506,140.92227,140.92227,1.134094,-2.900992,145.888239,145.888239,64.978792,-166.214595,145.888325,145.888325,0.007967,0.007904,8/11/2019,3:19:28 PM,442681.052,7206641.537,141.04832,64.978792,-166.214596,146.014375,0.014721,0.019364,6/28/2017,9:43:21 PM,tr47 fglb6r ul
fglb6r_ul,Target 6R,lobe,fglb6r_ul_2018,fglb6_right_tl,fglb6r_ul,442681.0791,7206641.503,141.005693,0.024202,0.032886,7/12/2018,3:24:59 PM,fglb6r_ul,Points,0,442681.1206,7206641.506,140.92227,140.92227,1.134094,-2.900992,145.888239,145.888239,64.978792,-166.214595,145.888325,145.888325,0.007967,0.007904,8/11/2019,3:19:28 PM,442681.052,7206641.537,141.04832,64.978792,-166.214596,146.014375,0.014721,0.019364,6/28/2017,9:43:21 PM,tr47 fglb6r ul
fglb6r_ur,Target 6R,lobe,fglb6r_ur_2018,fglb6_right_tr,fglb6r_ur,442681.1977,7206641.958,140.988101,0.024885,0.037805,7/11/2018,5:41:35 PM,fglb6r_ur,Points,0,442681.236,7206641.968,140.890299,140.890299,1.134094,-2.900992,145.856263,145.856263,64.978796,-166.214592,145.856349,145.856349,0.00806,0.008002,8/11/2019,3:18:17 PM,442681.1159,7206642.025,141.010565,64.978796,-166.214595,145.976615,0.013691,0.017998,6/28/2017,9:43:35 PM,tr47 fglb6r ur
fglb6r_ur,Target 6R,lobe,fglb6r_ur_2018,fglb6_right_tr,fglb6r_ur,442681.1977,7206641.958,140.988101,0.024885,0.037805,7/11/2018,5:41:35 PM,fglb6r_ur,Points,0,442681.236,7206641.968,140.890299,140.890299,1.134094,-2.900992,145.856263,145.856263,64.978796,-166.214592,145.856349,145.856349,0.00806,0.008002,8/11/2019,3:18:17 PM,442681.1159,7206642.025,141.010565,64.978796,-166.214595,145.976615,0.013691,0.017998,6/28/2017,9:43:35 PM,tr47 fglb6r ur
fglb6r_ur,Target 6R,lobe,fglb6r_ur_2018,fglb6_right_tr,fglb6r_ur,442681.178,7206641.953,140.957661,0.022296,0.030483,7/12/2018,3:25:53 PM,fglb6r_ur,Points,0,442681.236,7206641.968,140.890299,140.890299,1.134094,-2.900992,145.856263,145.856263,64.978796,-166.214592,145.856349,145.856349,0.00806,0.008002,8/11/2019,3:18:17 PM,442681.1159,7206642.025,141.010565,64.978796,-166.214595,145.976615,0.013691,0.017998,6/28/2017,9:43:35 PM,tr47 fglb6r ur
fglb6r_ur,Target 6R,lobe,fglb6r_ur_2018,fglb6_right_tr,fglb6r_ur,442681.178,7206641.953,140.957661,0.022296,0.030483,7/12/2018,3:25:53 PM,fglb6r_ur,Points,0,442681.236,7206641.968,140.890299,140.890299,1.134094,-2.900992,145.856263,145.856263,64.978796,-166.214592,145.856349,145.856349,0.00806,0.008002,8/11/2019,3:18:17 PM,442681.1159,7206642.025,141.010565,64.978796,-166.214595,145.976615,0.013691,0.017998,6/28/2017,9:43:35 PM,tr47 fglb6r ur
fglb5r_ll,Target 5R,lobe,fglb5r_ll_2018,fglb5_right_bl,fglb5r_ll,442696.8934,7206649.843,137.101964,0.040679,0.054862,7/12/2018,3:39:49 PM,fglb5r_ll,Points,0,442696.9244,7206649.889,137.034128,137.034128,1.134095,-2.900986,142.000049,142.000049,64.97887,-166.214263,142.000135,142.000135,0.007405,0.008156,8/11/2019,3:34:33 PM,442696.7855,7206650.014,137.201241,64.978871,-166.214266,142.167246,0.020133,0.026902,6/28/2017,9:36:44 PM,tr47 fglb5r ll
fglb5r_lr,Target 5R,lobe,fglb5r_lr_2018,fglb5_right_br,fglb5r_lr,442696.9617,7206650.406,137.180928,0.036176,0.050963,7/12/2018,3:35:25 PM,fglb5r_lr,Points,0,442697.0167,7206650.358,137.118394,137.118394,1.134095,-2.900986,142.08431,142.08431,64.978874,-166.214262,142.084396,142.084396,0.008027,0.009201,8/11/2019,3:32:17 PM,442696.8768,7206650.478,137.267873,64.978875,-166.214265,142.233873,0.019737,0.026358,6/28/2017,9:36:24 PM,tr47 fglb5r lr
fglb5r_ul,Target 5R,lobe,fglb5r_ul_2018,fglb5_right_tl,fglb5r_ul,442696.5402,7206650,137.192225,0.035382,0.049923,7/12/2018,3:34:12 PM,fglb5r_ul,Points,0,442696.6263,7206649.971,137.134946,137.134946,1.134095,-2.900986,142.100865,142.100865,64.97887,-166.21427,142.100951,142.100951,0.007551,0.008538,8/11/2019,3:33:26 PM,442696.5034,7206650.075,137.460661,64.978871,-166.214272,142.426664,0.013108,0.017344,6/28/2017,9:34:33 PM,tr47 fglb5r ul
