,target_name,cluster,Easting_2018_y,Northing_2018_y,Elevation_2018_y,H_Prec_Obs_2018_y,V_Prec_Obs_2018_y,rebar_height_m_2019,Easting_2019_y,Northing_2019_y,Elevation_2019_y,Elevation_minus_rebar_m_2019,GlobalLati_2019,GlobalLong_2019,GlobalElli_2019,ElliHeight_minus_rebar_m_2019,LocalLatit_2019_y,LocalLongi_2019_y,LocalEllip_2019_y,ElliHeight_minus_Rebar_m_2019,H_Prec_Obs_2019_y,V_Prec_Obs_2019_y,Easting_2017,Northing_2017,Elevation_2017,LocalLatit_2017,LocalLongi_2017,LocalEllip_2017,H_Prec_Obs_2017,V_Prec_Obs_2017,type,h_uncertainty,v_uncertainty,position_uncertainty,elevation_uncertainty
16,Target 6F,6,442689.2958,7206644.731,138.8276935,0.03068375,0.04275275,0,442689.4253,7206644.68,138.7234178,138.7234178,1.134094,-2.900989,143.6893745,143.6893745,64.9788215,-166.21442,143.6894605,143.6894605,0.00802825,0.0082695,442689.2317,7206644.803,138.9213265,64.9788225,-166.214424,143.8873675,0.0164335,0.0217685,lobe,0.008925,0.015925,0.01785,0.03185
17,Target 6L,6,442682.1421,7206653.285,141.432916,0.025899,0.03681925,0,442682.161,7206653.276,141.3811918,141.3811918,1.134096,-2.900992,146.34704,146.34704,64.9788975,-166.2145775,146.347126,146.347126,0.0083055,0.0081,442682.1156,7206653.336,141.498504,64.97889775,-166.2145785,146.4644375,0.0139745,0.01856275,lobe,0.008925,0.015925,0.01785,0.03185
18,Target 6R,6,442681.1974,7206641.718,140.965966,0.0235403,0.0335079,0,442681.2405,7206641.717,140.8877016,140.8877016,1.134094,-2.900992,145.8536686,145.8536686,64.9787938,-166.2145922,145.8537546,145.8537546,0.0080522,0.0079976,442681.148,7206641.769,141.0113588,64.9787939,-166.2145942,145.9774116,0.0141924,0.0186607,lobe,0.008925,0.015925,0.028223328,0.050359272
19,Target BM1,,443096.6357,7206476.655,81.72870783,0.011626,0.014061833,0.103333333,443096.6646,7206476.644,81.71279767,81.60946433,1.134069,-2.900837,86.68148167,86.57814833,64.977384,-166.205725,86.68156767,86.57823433,0.008370833,0.008978667,443096.6298,7206476.691,81.7400515,64.9773845,-166.2057258,86.70882083,0.013874167,0.018447167,lobe,0.008925,0.015925,0.021861696,0.039008124
20,Target BM2,,443032.6512,7206635.665,108.7342133,0.012255667,0.014543667,0.073025,443032.7295,7206635.616,108.6623042,108.5892792,1.134094,-2.900862,113.6288402,113.5558152,64.97879917,-166.2071435,113.6289262,113.5559012,0.006320333,0.0070785,443032.6669,7206635.75,109.0261962,64.97880033,-166.207145,113.9928163,0.016059333,0.027534833,lobe,0.008925,0.015925,0.021861696,0.039008124
21,Target BM3,,442839.4218,7206972.208,208.0818037,0.015015167,0.019190167,0.070379167,442839.4116,7206972.167,208.0848028,208.0144237,1.134146,-2.900936,213.0473982,212.977019,64.98178517,-166.2113755,213.0474842,212.977105,0.006822,0.007885667,442839.4325,7206972.274,208.0944262,64.9817865,-166.2113753,213.057106,0.017644,0.025053667,lobe,0.008925,0.015925,0.021861696,0.039008124
22,Target BM4,,442741.9908,7206643.76,125.813661,0.0150675,0.018175,0,442742.0086,7206643.769,125.7137923,125.7137923,1.134094,-2.90096925,130.6798898,130.6798898,64.97882225,-166.2133055,130.6799757,130.6799757,0.0052435,0.006458,442741.9798,7206643.813,125.912313,64.97882275,-166.2133063,130.8784963,0.018099,0.024653,lobe,0.008925,0.015925,0.01785,0.03185
23,Target BM5,,442647.0865,7206678.291,154.3226965,0.0234155,0.0529125,0.0492125,442647.0975,7206678.287,154.2574455,154.208233,1.1340995,-2.901005,159.222946,159.1737335,64.97911567,-166.2153302,159.223032,159.1738195,0.008752833,0.008480333,442647.0717,7206678.317,154.515516,64.979116,-166.215331,159.481102,0.0165585,0.021833333,lobe,0.008925,0.015925,0.021861696,0.039008124
24,t2_0,,442944.1392,7206602.568,106.954955,0.013128,0.014212,0.2111375,442944.2524,7206602.408,106.94195,106.7308125,1.134089,-2.900894,111.909033,111.6978955,64.978486,-166.209005,111.909119,111.6979815,0.005635,0.006716,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
25,t2_1,,442843.7842,7206588.877,108.011783,0.013787,0.015389,0.095,442843.8113,7206588.893,108.113142,108.018142,1.134086,-2.900931,113.080098,112.985098,64.978348,-166.211127,113.080184,112.985184,0.007557,0.008937,,,,,,,,,gcp,0.008925,0.015925,0.008925,0.015925
